Endpoints|Avg|Stdev|Max|+/- Stdev in %|LD_50%|LD_75%|LD_90%|LD_99%|Mode
workload|2.52|0.85|8.26|92.51|2.23|2.64|3.16|7.13|sequential
database|2.32|0.7024400000000001|9.98|92.17|2.1|2.32|2.92|5.65|sequential
queue_length|2.27|0.57682|7.76|91.63|2.09|2.3|2.75|4.93|sequential
storage|4.4|0.61475|8.57|86.7|4.33|4.65|4.86|7.53|sequential
throughput|4.46|0.582|8.48|83.12|4.42|4.65|4.89|7.27|sequential
latency|4.5|0.79353|11.76|91.59|4.45|4.65|4.89|7.37|sequential
database|17.78|7.94|39.13|75.0|20.56|22.18|24.0|39.13|parallel
storage|21.12|4.96|41.14|85.11|20.71|22.68|24.48|41.14|parallel
workload|21.53|4.05|35.64|82.61|21.01|22.38|25.73|35.64|parallel
queue_length|21.36|4.5|41.8|84.78|21.08|22.76|25.54|41.8|parallel
latency|21.74|4.17|38.8|84.09|21.13|22.73|25.73|38.8|parallel
throughput|21.84|3.73|36.7|81.82|21.2|22.6|25.61|36.7|parallel
