Endpoints|Avg|Stdev|Max|+/- Stdev in %|Mode
workload|381.73|34.9|424.0|72.73|sequential
database|412.64|25.05|450.0|63.64|sequential
queue_length|420.09|32.46|454.0|63.64|sequential
storage|217.6|11.12|240.0|80.0|sequential
throughput|215.73|11.14|240.0|72.73|sequential
latency|212.9|14.6|247.0|80.0|sequential
database|54.4|30.18|138.0|90.0|parallel
storage|46.6|8.24|60.0|80.0|parallel
workload|45.7|6.82|50.0|90.0|parallel
queue_length|45.4|7.28|50.0|90.0|parallel
latency|43.5|7.18|50.0|90.0|parallel
throughput|43.7|8.22|50.0|80.0|parallel
